-27 -20				    0.281374 521
-27 -18				    0.279416 505
-27 -16				    0.279017 399
-27 -14				    0.280166 272
-27 -12				    0.272189 244
-27 -10				    0.272592 235
-27 -8				    0.274974 231
-27 -6				    0.273615 285
-27 -4				    0.277998 229
-27 -2				    0.274332 247
-27 0				    0.276546 266
-27 2				    0.272634 256
-27 4				    0.273081 239
-27 6				    0.277441 263
-27 8				    0.278259 259
-27 10				    0.275728 242
-27 12				    0.27215  263
-27 14				    0.277605 267
-27 16				    0.277049 399
-27 18				    0.277752 498
-27 20				    0.283135 500
-27 22				    0.28066  515
-27 24				    0.287139 512
-25 -24.			    0.286067 499
-25 -22				    0.282038 551
-25 -20				    0.286199 513
-25 -18				    0.284381 538
-25 -16				    0.28071  344
-25 -14				    0.278793 280
-25 -12				    0.276249 270
-25 -10				    0.275993 240
-25 -8				    0.278144 275
-25 -6				    0.274456 246
-25 -4				    0.270684 230
-25 -2				    0.273042 262
-25 0				    0.275116 267
-25 2				    0.271424 245
-25 4				    0.277327 259
-25 6				    0.276726 238
-25 8				    0.273669 248
-25 10				    0.276134 254
-25 12				    0.27726  256
-25 14				    0.278348 260
-25 16				    0.280803 378
-25 18				    0.279851 534
-25 20				    0.283178 574
-25 22				    0.286098 526
-25 24				    0.286151 522
-23 -24.			    0.288325 543
-23 -22				    0.289323 572
-23 -20				    0.287689 563
-23 -18				    0.28428  489
-23 -16				    0.28353  282
-23 -14				    0.281288 259
-23 -12				    0.279991 293
-23 -10				    0.280109 250
-23 -8				    0.276305 276
-23 -6				    0.271441 227
-23 -4				    0.279992 251
-23 -2				    0.273882 254
-23 0				    0.268207 246
-23 2				    0.271377 262
-23 4				    0.277489 255
-23 6				    0.280284 332
-23 8				    0.274862 272
-23 10				    0.274289 233
-23 12				    0.279554 243
-23 14				    0.284401 269
-23 16				    0.281355 258
-23 18				    0.284762 503
-23 20				    0.286771 536
-23 22				    0.287847 544
-23 24				    0.288129 517
-21 -24.			    0.29392  538
-21 -22				    0.291368 550
-21 -20				    0.289021 591
-21 -18				    0.286956 461
-21 -16				    0.287175 275
-21 -14				    0.285094 292
-21 -12				    0.280748 270
-21 -10				    0.276519 284
-21 -8				    0.279178 282
-21 -6				    0.279513 275
-21 -4				    0.276142 269
-21 -2				    0.276747 240
-21 0				    0.273455 259
-21 2				    0.275925 262
-21 4				    0.274547 257
-21 6				    0.277148 289
-21 8				    0.283894 279
-21 10				    0.275492 286
-21 12				    0.283336 275
-21 14				    0.284062 273
-21 16				    0.284157 283
-21 18				    0.289461 438
-21 20				    0.289696 531
-21 22				    0.294078 542
-21 24				    0.291981 563
-19 -24.			    0.295038 521
-19 -22				    0.293287 554
-19 -20				    0.293852 591
-19 -18				    0.287737 356
-19 -16				    0.290501 297
-19 -14				    0.286489 283
-19 -12				    0.2854   271
-19 -10				    0.281139 279
-19 -8				    0.283205 267
-19 -6				    0.280394 273
-19 -4				    0.281989 314
-19 -2				    0.277555 281
-19 0				    0.275983 267
-19 2				    0.283113 282
-19 4				    0.277505 237
-19 6				    0.277195 270
-19 8				    0.284382 243
-19 10				    0.285575 270
-19 12				    0.287774 286
-19 14				    0.291843 296
-19 16				    0.286997 284
-19 18				    0.288506 368
-19 20				    0.289259 591
-19 22				    0.298064 608
-19 24				    0.29738  564
-17 -24.			    0.299015 593
-17 -22				    0.29509  556
-17 -20				    0.297082 587
-17 -18				    0.292264 270
-17 -16				    0.291635 307
-17 -14				    0.290476 278
-17 -12				    0.287625 299
-17 -10				    0.283556 290
-17 -8				    0.284726 265
-17 -6				    0.278479 303
